"문제번호","과목코드","과목명","대단원번호","대단원명","중단원번호","중단원명","섹션번호","섹션명","키워드","유형","난이도","배점","문제내용","보기1","보기2","보기3","보기4","정답","해설"
"1","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","마찰 전기에 대한 설명으로 옳은 것은?","서로 다른 두 물체를 마찰하면 두 물체가 모두 같은 종류의 전하를 띤다.","서로 다른 두 물체를 마찰하면 두 물체가 대전되어 사이에 전기력이 작용한다.","마찰 시 한쪽 물체만 전하를 잃고 다른 쪽은 변화가 없다.","전기력은 마찰이 없으면 절대 작용하지 않는다.","2","서로 다른 두 물체를 마찰하면 한쪽은 전자를 잃고 다른 쪽은 전자를 얻어 두 물체 모두 대전됩니다. 그 결과 두 물체 사이에 전기력이 작용합니다."
"2","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","전기력의 종류와 작용에 대한 설명으로 옳은 것은?","같은 종류의 전하 사이에는 인력만 작용한다.","다른 종류의 전하 사이에는 척력만 작용한다.","같은 종류의 전하 사이에는 척력, 다른 종류의 전하 사이에는 인력이 작용한다.","전기력의 종류는 전하의 종류와 무관하다.","3","전기력은 같은 종류의 전하 사이에서는 서로 밀어내는 척력, 다른 종류의 전하 사이에서는 서로 끌어당기는 인력으로 작용합니다."
"3","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","전하의 종류에 대한 설명으로 옳은 것은?","양(+)전하 한 종류만 존재한다.","음(-)전하 한 종류만 존재한다.","양(+)전하와 음(-)전하 두 종류가 있다.","전하의 종류는 무한히 많다.","3","물체가 띠는 전하는 양(+)전하와 음(-)전하 두 종류가 있습니다."
"4","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","두 점전하 사이에 작용하는 전기력의 크기를 나타내는 쿨롱 법칙으로 옳은 것은? (q₁, q₂: 전하량, r: 두 전하 사이의 거리, k: 비례 상수)","F = k q₁q₂ / r","F = k q₁q₂ / r²","F = k (q₁ + q₂) / r²","F = k q₁q₂ × r²","2","쿨롱 법칙: 두 전하 사이에 작용하는 전기력의 크기는 두 전하의 전하량의 곱에 비례하고, 두 전하 사이의 거리의 제곱에 반비례합니다. F = k q₁q₂ / r²"
"5","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","두 점전하 사이의 거리를 2배로 늘리면, 두 전하 사이에 작용하는 전기력의 크기는 어떻게 되는가? (전하량은 그대로)","1/2배","1/4배","2배","4배","2","쿨롱 법칙에서 F ∝ 1/r² 이므로, 거리가 2배가 되면 전기력은 1/2² = 1/4배가 됩니다."
"6","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","두 점전하의 전하량을 각각 2배로 늘리고 거리는 그대로 둘 때, 두 전하 사이에 작용하는 전기력의 크기는 몇 배가 되는가?","2배","4배","8배","1/4배","2","F ∝ q₁q₂ 이므로 두 전하량이 각각 2배가 되면 곱은 4배가 됩니다. 따라서 전기력은 4배가 됩니다."
"7","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","전기장의 정의로 가장 옳은 것은?","전하 주위에 전기력이 미치는 공간","전하가 직접 닿아야만 힘을 주고받는 영역","전류가 흐르는 도선 내부의 전기적 영역","전위가 0인 등전위면","1","전하 주위에는 다른 전하가 있을 때 전기력이 작용할 수 있는 공간이 형성되며, 이를 전기장이라고 합니다."
"8","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","어떤 점에서의 전기장 E는 다음 중 어떻게 정의되는가? (단위 양(+)전하: 전하량 1 C인 양전하)","그 점에 놓인 단위 음(-)전하가 받는 전기력","그 점에서의 전류","그 점에서의 전위","그 점에 놓인 단위 양(+)전하가 받는 전기력","4","전기장은 그 점에 놓인 단위 양(+)전하(1 C)가 받는 전기력으로 정의됩니다. 단위는 N/C입니다."
"9","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","전기장의 단위로 옳은 것은?","J","V","N/C","C","3","전기장은 단위 양(+)전하가 받는 힘이므로 단위는 N/C 입니다."
"10","PHY","물리학","2","전기와 자기","1","전기","1","전기장과 전위차","","theory","ba","","양(+)전하 주위의 전기장 방향에 대한 설명으로 옳은 것은?","양전하 쪽으로 향한다.","전기장이 형성되지 않는다.","방향이 정해지지 않는다.","양전하에서 멀어지는 방향(밖으로 뻗어 나간다).","4","양(+)전하 주위의 전기장은 양전하에서 바깥으로 뻗어 나가는 방향입니다. 단위 양전하를 갖다 두면 척력에 의해 멀어지기 때문입니다."
