문제번호,과목코드,과목명,대단원번호,대단원명,중단원번호,중단원명,섹션번호,섹션명,키워드,유형,난이도,배점,문제내용,보기1,보기2,보기3,보기4,정답,해설
500,PHY,물리학,1,힘과 에너지,2,에너지와 열,1,역학적 에너지 보존,,theory,ba,5,"물체에 크기가 F인 힘이 작용하여 힘의 방향으로 거리 s만큼 이동했을 때, 이 힘이 한 일 W를 나타내는 식으로 옳은 것은?",W = F / s,W = Fs,W = F + s,W = Fs²,2,"일 W = Fs 입니다. 힘의 크기와, 힘의 방향으로 이동한 거리의 곱입니다. 힘의 방향과 이동 방향이 서로 수직이면 힘의 방향으로 이동한 거리가 0이므로 한 일도 0입니다."
501,PHY,물리학,1,힘과 에너지,2,에너지와 열,1,역학적 에너지 보존,,theory,ba,5,일의 SI 단위와 그 의미로 옳은 것은?,N — 질량 1 kg인 물체를 1 m/s²으로 가속시키는 힘의 크기,W — 물체가 1초 동안 1 m 이동한 양,J — 1 N의 힘을 작용하여 힘의 방향으로 1 m 이동시켰을 때 한 일의 양,kg·m — 질량 1 kg인 물체를 1 m 옮긴 양,3,"일의 단위는 J(줄)입니다. 1 J = 1 N × 1 m 이므로, 1 N의 힘으로 힘의 방향으로 1 m 이동시켰을 때 한 일이 1 J입니다. N은 힘의 단위이므로 혼동하지 않도록 합니다."
502,PHY,물리학,1,힘과 에너지,2,에너지와 열,1,역학적 에너지 보존,,theory,ba,5,"힘의 크기 F와 이동 거리 s를 축으로 그린 F-s 그래프에서, 그래프 아래의 넓이가 나타내는 물리량은?",힘이 한 일,물체의 질량,물체의 가속도,물체의 운동량,1,"W = Fs 이므로 (세로축 F) × (가로축 s) = 넓이 = 일 입니다. 힘의 크기가 일정하면 넓이는 직사각형이 되고, 힘의 크기가 변하더라도 그래프 아래 넓이가 곧 한 일이라는 사실은 그대로 성립합니다."
503,PHY,물리학,1,힘과 에너지,2,에너지와 열,1,역학적 에너지 보존,,theory,ba,5,정지해 있던 질량 m인 물체에 알짜힘 F가 거리 s만큼 작용하여 속력이 v가 되었다. 등가속도 공식 2as = v^2 - v₀^2를 이용하여 W = Fs를 정리한 결과로 옳은 것은?,W = mv,W = mv²,W = 2mv²,W = ½mv²,4,"W = Fs = mas 입니다. 처음에 정지해 있었으므로 v₀ = 0, 따라서 2as = v², 즉 as = ½v² 입니다. 이를 대입하면 W = m × ½v² = ½mv². 이렇게 얻어진 양을 운동 에너지 Eₖ = ½mv² 로 정의합니다."
504,PHY,물리학,1,힘과 에너지,2,에너지와 열,1,역학적 에너지 보존,,theory,ba,5,일 · 운동 에너지 정리의 내용으로 옳은 것은?,물체에 작용한 알짜힘이 한 일은 물체의 중력에 의한 위치 에너지와 같다.,물체에 작용한 알짜힘이 한 일은 물체의 운동 에너지의 변화량과 같다.,물체에 작용한 알짜힘이 한 일은 물체의 질량 변화량과 같다.,물체에 작용한 알짜힘이 한 일은 항상 0이다.,2,W = ½mv² − ½mv₀² = ΔEₖ. 알짜힘이 한 일만큼 운동 에너지가 변합니다. '변화량'이라는 점이 중요합니다. 알짜힘이 한 일이 음수이면 운동 에너지는 줄어듭니다.
505,PHY,물리학,1,힘과 에너지,2,에너지와 열,1,역학적 에너지 보존,,theory,ba,5,질량 m인 물체를 지표면에서 높이 h만큼 서서히 들어 올렸다. 중력에 의한 위치 에너지 E_P와 각 기호의 의미로 옳은 것은?,"Eₚ = mgh — m은 질량, g는 중력 가속도, h는 기준점으로부터의 높이","Eₚ = ½mh² — m은 질량, h는 높이","Eₚ = mgh² — m은 질량, g는 중력 가속도, h는 높이","Eₚ = mg / h — m은 질량, g는 중력 가속도, h는 높이",1,"물체를 서서히 들어 올릴 때 중력에 대해 한 일 W = mgh 가 그대로 위치 에너지로 저장됩니다. 위치 에너지는 기준점으로부터의 높이에 비례하므로, 기준점을 어디로 잡느냐에 따라 값이 달라진다는 점도 함께 기억해 둡니다."
506,PHY,물리학,1,힘과 에너지,2,에너지와 열,1,역학적 에너지 보존,,theory,ba,5,"용수철 상수가 k인 용수철을 평형 위치로부터 x만큼 변형시켰을 때, 탄성력에 의한 위치 에너지로 옳은 것은?",½kx,kx²,½kx²,½k²x,3,탄성력의 크기는 kx로 변형된 길이에 비례하므로 F-x 그래프가 원점을 지나는 직선입니다. 그래프 아래 삼각형의 넓이 = ½ × (밑변 x) × (높이 kx) = ½kx². 중력의 경우(mgh)와 달리 제곱이 들어간다는 점이 핵심입니다.
507,PHY,물리학,1,힘과 에너지,2,에너지와 열,1,역학적 에너지 보존,,theory,ba,5,용수철의 탄성력을 나타내는 식 F = -kx에서 음(−) 부호가 뜻하는 것으로 옳은 것은?,탄성력의 크기가 항상 음수라는 뜻이다.,탄성력의 방향이 변형된 방향과 반대라는 뜻이다.,용수철 상수 k가 음수라는 뜻이다.,용수철이 늘어날 때만 힘이 작용한다는 뜻이다.,2,"탄성력은 언제나 평형 위치로 되돌아가려는 방향(복원력)으로 작용합니다. 당기면 반대로 끌어당기고 압축하면 반대로 밀어냅니다. 음 부호는 이 '반대 방향'을 나타내며, 크기 자체는 kx로 양수입니다."
508,PHY,물리학,1,힘과 에너지,2,에너지와 열,1,역학적 에너지 보존,,theory,ba,5,"공기 저항이 없을 때 자유 낙하하는 질량 m인 물체가 높이 h에서 속력 v, 높이 h'에서 속력 v'이었다. 성립하는 역학적 에너지 보존식으로 옳은 것은?",mgh = mgh′,½mv² = ½mv′²,mgh − ½mv² = mgh′ − ½mv′²,mgh + ½mv² = mgh′ + ½mv′²,4,"역학적 에너지 E = Eₚ + Eₖ 가 일정하므로, 어느 두 지점에서든 (위치 에너지 + 운동 에너지)의 합이 같습니다. 즉 mgh + ½mv² = mgh′ + ½mv′². 두 에너지를 '더한' 값이 보존된다는 점을 놓치지 않도록 합니다."
509,PHY,물리학,1,힘과 에너지,2,에너지와 열,1,역학적 에너지 보존,,theory,ba,5,공기 저항이 없는 자유 낙하에서 높이에 따른 위치 에너지와 운동 에너지의 변화를 옳게 설명한 것은?,높이가 낮아질수록 위치 에너지와 운동 에너지가 모두 증가한다.,높이가 낮아질수록 위치 에너지는 증가하고 운동 에너지는 감소한다.,"높이가 낮아질수록 위치 에너지는 감소하고, 감소한 만큼 운동 에너지가 증가한다.",높이가 낮아질수록 위치 에너지와 운동 에너지가 모두 감소한다.,3,Eₚ = mgh 이므로 위치 에너지는 높이에 정비례하여 직선으로 감소합니다. 역학적 에너지 총합이 일정하므로 줄어든 만큼 그대로 운동 에너지가 늘어납니다. 따라서 두 그래프를 더하면 어느 높이에서나 같은 값이 되어 수평선이 됩니다.
510,PHY,물리학,1,힘과 에너지,2,에너지와 열,1,역학적 에너지 보존,,theory,ba,5,마찰과 공기 저항이 없는 롤러코스터에 대한 설명으로 옳은 것은?,가장 낮은 지점에서 속력이 최대이다.,가장 높은 지점에서 운동 에너지가 최대이다.,높이가 같은 두 지점에서 속력이 서로 다르다.,아래로 내려갈수록 역학적 에너지의 총합이 커진다.,1,E = Eₚ + Eₖ 가 일정합니다. 가장 낮은 지점에서 위치 에너지가 최소이므로 운동 에너지가 최대가 되어 속력이 가장 빠릅니다. 또 높이가 같으면 위치 에너지가 같으므로 운동 에너지도 같아 속력이 같습니다. 역학적 에너지 총합은 어디서나 일정합니다.
511,PHY,물리학,1,힘과 에너지,2,에너지와 열,1,역학적 에너지 보존,,theory,ba,5,마찰이 없는 수평면에서 용수철에 연결된 물체가 진폭 A로 좌우 진동한다. 물체의 속력이 최대가 되는 지점은?,진폭의 양 끝 지점,진폭의 절반이 되는 지점,어느 지점에서나 속력이 같다,평형 위치,4,½mv² + ½kx² = ½kA² 가 일정합니다. 평형 위치(x = 0)에서는 탄성력에 의한 위치 에너지가 0이므로 운동 에너지가 최대가 되어 속력이 가장 빠릅니다. 반대로 양 끝(x = ±A)에서는 모든 에너지가 위치 에너지이므로 속력이 0입니다.
